% Model:              Gofar_3seg_1e24_1300mpt_GSRM.mph
% Version:            COMSOL 4.2.1.166
% Date:               Nov 8 2019, 17:10
% Dimension:          3
% Nodes:              26741
% Expressions:        3
% Description:        Temperature, differential stress (Pa), overburned pressure
% x             y              z              T (degC)       tau            pressure (Pa)
47500           15000          -19200         1299.718055    2.670582e5     4.32768e8
47500           15000          -19000         1299.690715    2.682334e5     4.2826e8
47500           15000          -18800         1299.663375    2.69403e5      4.23752e8
47500           15000          -18200         1299.581356    2.728779e5     4.10228e8
47500           15000          -18000         1299.554016    2.750192e5     4.0572e8
47500           15000          -17800         1299.484325    2.774495e5     4.01212e8
47500           15000          -17600         1299.414634    2.788848e5     3.96704e8
47500           15000          -7200          1227.377664    6.274602e5     1.62288e8
47500           15000          -7100          1224.50175     6.424647e5     1.60034e8
47500           15000          -7000          1221.625836    6.557295e5     1.5778e8
47500           15000          -6900          1217.241828    6.764411e5     1.55526e8
47500           15000          -6800          1212.85782     7.002398e5     1.53272e8
47500           15000          -18400         1299.608696    2.717255e5     4.14736e8
47750           15000          -35000         1300.001567    1.799866e5     7.889e8
47750           15000          -37500         1300.000501    1.717009e5     8.4525e8
47750           15000          -36500         1300.000927    1.746018e5     8.2271e8
47750           15000          -36000         1300.00114     1.760133e5     8.1144e8
47750           15000          -35500         1300.001354    1.774001e5     8.0017e8
47750           15000          -34500         1300.000709    1.831136e5     7.7763e8
47750           15000          -34000         1299.99985     1.849771e5     7.6636e8
47750           15000          -40000         1299.999434    1.634266e5     9.016e8
47750           15000          -38000         1300.000287    1.702097e5     8.5652e8
47750           15000          -37000         1300.000714    1.731646e5     8.3398e8
47750           15000          -75000         1299.999655    1.137017e5     1.6905e9
47750           15000          -32500         1299.997275    1.903418e5     7.3255e8
47750           15000          -1e5           1300           91387.884448   2.254e9
47750           15000          -97500         1299.999966    93162.712326   2.19765e9
47750           15000          -45000         1299.999781    1.528022e5     1.0143e9
47750           15000          -43000         1299.999642    1.570124e5     9.6922e8
47750           15000          -41000         1299.999503    1.609922e5     9.2414e8
47750           15000          -39500         1299.999647    1.655612e5     8.9033e8
47750           15000          -39000         1299.999861    1.671408e5     8.7906e8
47750           15000          -38500         1300.000074    1.6869e5       8.6779e8
47750           15000          -33500         1299.998992    1.86802e5      7.5509e8
47750           15000          -33000         1299.998133    1.885898e5     7.4382e8
47750           15000          -32000         1299.996416    1.920594e5     7.2128e8
47750           15000          -31500         1299.995557    1.937437e5     7.1001e8
47750           15000          -500           187.576985     2.450737e7     1.127e7
47750           15000          -300           112.546191     2.270429e7     6.762e6
47750           15000          -100           37.515397      2.090119e7     2.254e6
47750           15000          0              0              1.999964e7     0
47750           15000          -95000         1299.999931    95144.536721   2.1413e9
47750           15000          -92500         1299.999897    97246.668306   2.08495e9
47750           15000          -87500         1299.999828    1.015763e5     1.97225e9
47750           15000          -82500         1299.999759    1.058496e5     1.85955e9
47750           15000          -52500         1300.000082    1.396656e5     1.18335e9
47750           15000          -50000         1300.000129    1.415108e5     1.127e9
47750           15000          -49000         1300.00006     1.435925e5     1.10446e9
47750           15000          -48000         1299.99999     1.460009e5     1.08192e9
47750           15000          -44000         1299.999712    1.549376e5     9.9176e8
47750           15000          -42000         1299.999573    1.590296e5     9.4668e8
47750           15000          -3100          886.450004     1.432463e7     6.9874e7
47750           15000          -3000          872.240462     1.617124e7     6.762e7
47750           15000          -2900          851.701554     1.913102e7     6.5366e7
47750           15000          -2500          769.545925     3.105155e7     5.635e7
47750           15000          -2100          687.390295     3.613194e7     4.7334e7
47750           15000          -2000          666.851387     3.621118e7     4.508e7
47750           15000          -1900          637.681646     3.616928e7     4.2826e7
47750           15000          -1500          521.002678     3.347694e7     3.381e7
47750           15000          -1100          404.323711     2.99144e7      2.4794e7
47750           15000          -1000          375.153969     2.901418e7     2.254e7
47750           15000          -900           337.638572     2.811346e7     2.0286e7
47750           15000          -400           150.061588     2.360583e7     9.016e6
47750           15000          -90000         1299.999862    99405.31804    2.0286e9
47750           15000          -85000         1299.999793    1.037306e5     1.9159e9
47750           15000          -80000         1299.999724    1.079224e5     1.8032e9
47750           15000          -77500         1299.99969     1.099427e5     1.74685e9
47750           15000          -72500         1299.999703    1.18524e5      1.63415e9
47750           15000          -70000         1299.99975     1.214883e5     1.5778e9
47750           15000          -67500         1299.999798    1.243677e5     1.52145e9
47750           15000          -65000         1299.999845    1.271527e5     1.4651e9
47750           15000          -62500         1299.999892    1.298404e5     1.40875e9
47750           15000          -60000         1299.99994     1.324319e5     1.3524e9
47750           15000          -57500         1299.999987    1.349304e5     1.29605e9
47750           15000          -47000         1299.99992     1.483369e5     1.05938e9
47750           15000          -46000         1299.999851    1.50603e5      1.03684e9
47750           15000          -16200         1298.949502    2.888581e5     3.65148e8
47750           15000          -16000         1298.881245    2.912406e5     3.6064e8
47750           15000          -15800         1298.70732     2.941621e5     3.56132e8
47750           15000          -15400         1298.359468    2.980794e5     3.47116e8
47750           15000          -15200         1298.185542    3.000457e5     3.42608e8
47750           15000          -15000         1298.011617    3.020154e5     3.381e8
47750           15000          -14800         1297.837691    3.039872e5     3.33592e8
47750           15000          -14600         1297.663765    3.0596e5       3.29084e8
47750           15000          -14200         1297.315913    3.099048e5     3.20068e8
47750           15000          -14000         1297.141988    3.125026e5     3.1556e8
47750           15000          -13800         1296.689717    3.161182e5     3.11052e8
47750           15000          -13200         1295.332905    3.252496e5     2.97528e8
47750           15000          -13000         1294.880634    3.283386e5     2.9302e8
47750           15000          -12600         1293.976092    3.345685e5     2.84004e8
47750           15000          -4500          1063.213409    2.577143e6     1.0143e8
47750           15000          -4400          1053.437903    2.826707e6     9.9176e7
47750           15000          -4300          1043.662398    3.103011e6     9.6922e7
47750           15000          -4100          1024.111386    3.747639e6     9.2414e7
47750           15000          -4000          1014.33588     4.115422e6     9.016e7
47750           15000          -3900          1000.126338    4.729378e6     8.7906e7
47750           15000          -3700          971.707255     6.281387e6     8.3398e7
47750           15000          -3600          957.497713     7.240287e6     8.1144e7
47750           15000          -3500          943.288171     8.339678e6     7.889e7
47750           15000          -3400          929.078629     9.591821e6     7.6636e7
47750           15000          -3300          914.869087     1.10057e7      7.4382e7
47750           15000          -2700          810.623739     2.546937e7     6.0858e7
47750           15000          -2600          790.084832     2.84478e7      5.8604e7
47750           15000          -2400          749.007017     3.314815e7     5.4096e7
47750           15000          -2300          728.46811      3.467761e7     5.1842e7
47750           15000          -1700          579.342162     3.509548e7     3.8318e7
47750           15000          -1600          550.17242      3.43193e7      3.6064e7
47750           15000          -1400          491.832937     3.26018e7      3.1556e7
47750           15000          -1300          462.663195     3.171137e7     2.9302e7
47750           15000          -700           262.607779     2.631044e7     1.5778e7
47750           15000          -600           225.092382     2.540891e7     1.3524e7
47750           15000          -30500         1299.99384     1.970178e5     6.8747e8
47750           15000          -30000         1299.992982    2.011552e5     6.762e8
47750           15000          -29500         1299.996113    2.058491e5     6.6493e8
47750           15000          -31000         1299.994699    1.953961e5     6.9874e8
47750           15000          -29000         1299.999244    2.079576e5     6.5366e8
47750           15000          -28500         1300.002375    2.100267e5     6.4239e8
47750           15000          -27500         1300.008636    2.140498e5     6.1985e8
47750           15000          -26500         1300.014898    2.179257e5     5.9731e8
47750           15000          -2800          831.162647     2.229901e7     6.3112e7
47750           15000          -2200          707.929202     3.56512e7      4.9588e7
47750           15000          -1800          608.511904     3.574553e7     4.0572e7
47750           15000          -1200          433.493453     3.081425e7     2.7048e7
47750           15000          -800           300.123175     2.721196e7     1.8032e7
47750           15000          -200           75.030794      2.180274e7     4.508e6
47750           15000          -55000         1300.000034    1.3734e5       1.2397e9
47750           15000          -26000         1300.018029    2.198109e5     5.8604e8
47750           15000          -25500         1300.02116     2.216623e5     5.7477e8
47750           15000          -25000         1300.024291    2.265613e5     5.635e8
47750           15000          -24500         1300.004998    2.322697e5     5.5223e8
47750           15000          -24000         1299.985706    2.348617e5     5.4096e8
47750           15000          -23500         1299.966414    2.374157e5     5.2969e8
47750           15000          -22500         1299.927829    2.424053e5     5.0715e8
47750           15000          -16600         1299.086015    2.860282e5     3.74164e8
47750           15000          -15600         1298.533394    2.961177e5     3.51624e8
47750           15000          -14400         1297.489839    3.079328e5     3.24576e8
47750           15000          -13600         1296.237446    3.191364e5     3.06544e8
47750           15000          -13400         1295.785175    3.221812e5     3.02036e8
47750           15000          -12400         1293.523821    3.377051e5     2.79496e8
47750           15000          -12200         1293.071551    3.408535e5     2.74988e8
47750           15000          -12000         1292.61928     3.440426e5     2.7048e8
47750           15000          -11800         1291.448904    3.492442e5     2.65972e8
47750           15000          -11600         1290.278528    3.545094e5     2.61464e8
47750           15000          -11400         1289.108152    3.598644e5     2.56956e8
47750           15000          -11000         1286.767401    3.708283e5     2.4794e8
47750           15000          -10600         1284.426649    3.821096e5     2.38924e8
47750           15000          -10400         1283.256273    3.878626e5     2.34416e8
47750           15000          -10200         1282.085898    3.936875e5     2.29908e8
47750           15000          -10000         1280.915522    3.992781e5     2.254e8
47750           15000          -9900          1279.75619     4.035695e5     2.23146e8
47750           15000          -9800          1278.596859    4.082257e5     2.20892e8
47750           15000          -9700          1277.437528    4.129423e5     2.18638e8
47750           15000          -9500          1275.118865    4.225576e5     2.1413e8
47750           15000          -9300          1272.800203    4.324174e5     2.09622e8
47750           15000          -9200          1271.640871    4.374396e5     2.07368e8
47750           15000          -9100          1270.48154     4.425238e5     2.05114e8
47750           15000          -9000          1269.322209    4.463429e5     2.0286e8
47750           15000          -8900          1267.479828    4.521481e5     2.00606e8
47750           15000          -8800          1265.637448    4.594108e5     1.98352e8
47750           15000          -8700          1263.795068    4.66806e5      1.96098e8
47750           15000          -8500          1260.110307    4.820031e5     1.9159e8
47750           15000          -8300          1256.425546    4.977586e5     1.87082e8
47750           15000          -8200          1254.583166    5.058519e5     1.84828e8
47750           15000          -8100          1252.740785    5.140923e5     1.82574e8
47750           15000          -8000          1250.898405    5.206225e5     1.8032e8
47750           15000          -7900          1248.028159    5.307969e5     1.78066e8
